posx,posy,posz
6.5624204,0.7511001,6.0420976
6.2634563,0.7511001,6.67499
6.0058203,0.75110006,7.2168274
5.8340626,0.75110006,7.578052
5.6868715,0.7511,7.9499645
5.7902064,0.7511,8.042281
6.025627,0.75110006,8.371466
6.071747,0.7511,9.06991
6.111278,0.7511,9.668576
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.768353
6.1178665,0.7511,9.968344
6.1799817,0.7511,10.361479
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.612246
6.1900473,0.7511,10.812236
6.7319818,0.7511,11.069668
7.273916,0.7511,11.3271
7.0223436,0.7511001,11.734811
6.558929,0.75110006,12.259336
6.1633644,0.7511001,12.710438
5.7677994,0.75110006,13.16154
5.4381623,0.75110006,13.537457
5.4381623,0.7511,13.537457
5.4381623,0.7511,13.537457
5.4381623,0.7511,13.537457
5.4381623,0.7511,13.537457
5.4381623,0.7511,13.537457
5.4381623,0.7511,13.537457
5.238172,0.7511,13.537457
5.159064,0.75110006,13.04378
4.766388,0.75110006,12.590162
4.3737125,0.75110006,12.136543
3.9810367,0.7511,11.682925
3.4470332,0.75110006,11.956429
2.8240292,0.7511001,12.2755165
2.2900257,0.75110006,12.54902
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
2.0230238,0.7511,12.685772
1.8230338,0.7511,12.685772
1.6413574,0.7511001,13.15157
